id,contentId,firstname,lastname,castMember,character,createdAt,createdBy,modifiedAt,modifiedBy,movieStar,nr,contentNr,,,
1,1,Libuše,Šafránková,Libuše Šafránková,Cinderella,,,,,1,1,1,,,
2,1,Pavel,Trávníček,Pavel Trávníček,Prince,,,,,1,2,1,,,
3,1,Carola,Braunbocková,Carola Braunbocková,Stepmother,,,,,,3,1,,,
4,1,Karin,Lesch,Karin Lesch,Queen,,,,,,4,1,,,
5,1,Dana,Hlaváčová,Dana Hlaváčová,Dora,,,,,,5,1,,,
6,2,Emanuel,Hason,Emanuel Hason,Jakub,,,,,1,6,2,,,
7,2,Giulietta,Masinová,Giulietta Masinová,Perinbaba,,,,,1,7,2,,,
8,2,Petra,Vančíková,Petra Vančíková,Alžbetka,,,,,1,8,2,,,
9,2,Soňa,Valentová,Soňa Valentová,Stepmother,,,,,,9,2,,,
10,2,Tobias,Hoesl,Tobias Hoesl,Jakub,,,,,,10,2,,,
11,3,Jozef,Kroner,Jozef Kroner,Tóno Brtko,,,,,1,11,3,,,
12,3,Elena,Zvaríková,Elena Zvaríková,Róza Kolkocká,,,,,,12,3,,,
13,3,Juraj,Herz,Juraj Herz,Jewish Man,,,,,,13,3,,,
14,3,František,Zvarík,František Zvarík,Markuš Kolkocký,,,,,,14,3,,,
15,3,Hana,Slivková,Hana Slivková,Evelína Brtková,,,,,,15,3,,,
16,4,Luděk,Sobota,Luděk Sobota,Car Mechanic,,,,,,16,4,,,
17,4,Eva,Fiedlerová,Eva Fiedlerová,Mrs. Nevyjelová,,,,,,17,4,,,
18,4,Ladislav,Smoljak,Ladislav Smoljak,Karfík,,,,,,18,4,,,
19,4,Věra,Ferbasová,Věra Ferbasová,Aunt,,,,,,19,4,,,
20,4,Zdeněk,Svěrák,Zdeněk Svěrák,Klasek,,,,,1,20,4,,,
21,5,Michal,Dymek,Michal Dymek,Tomás,,,,,1,21,5,,,
22,5,Petr,Vorísek,Petr Vorísek,Hubert,,,,,,22,5,,,
23,5,Petr,Stary,Petr Stary,Jozka Vágner,,,,,,23,5,,,
24,5,Magdalena,Reifová,Magdalena Reifová,Blanka,,,,,,24,5,,,
25,5,Iva,Janžurová,Iva Janžurová,Aunt Apolena,,,,,,25,5,,,
26,6,Vojtěch,Vodochodský,Vojtěch Vodochodský,Tomáš Havlík,,,,,1,26,6,,,
27,6,Stanislav,Majer,Stanislav Majer,Milan Weiner,,,,,1,27,6,,,
28,6,Táňa,Pauhofová,Táňa Pauhofová,Věra Šťovíčková,,,,,,28,6,,,
99,26,Ana,Moreira,Ana Moreira,Marta,,,,,,99,26,,,
30,6,Martin,Hoffmann,Martin Hoffmann,Luboš Dobrovský,,,,,,30,6,,,
31,7,Ján,Koleník,Ján Koleník,Noro,,,,,1,31,7,,,
104,29,Ana,Moreira,Ana Moreira,Aurora (young),,,,,,99,29,,,
33,7,Kamila,Magálová,Kamila Magálová,Zora Ballová,,,,,,33,7,,,
34,7,Adam,Jančina,Adam Jančina,Karol Lajták,,,,,,34,7,,,
35,7,Juraj,Rašla,Juraj Rašla,Roman Malec,,,,,,35,7,,,
36,8,Ladislav,Hrušovský,Ladislav Hrušovský,Sergej Kopriva,,,,,1,36,8,,,
37,8,Ivan,Romančík,Ivan Romančík,Milan Horký,,,,,,37,8,,,
38,8,Soňa,Norisová,Soňa Norisová,Jana Holíková,,,,,,38,8,,,
39,8,Pavol,Višňovský,Pavol Višňovský,Ivan Tomeček,,,,,,39,8,,,
40,8,Marián,Mitaš,Marián Mitaš,Tomáš Benkovský,,,,,,40,8,,,
41,9,Karol,Polák,Karol Polák,TV Reporter,,,,,,41,9,,,
42,9,David,Nykl,David Nykl,Pat,,,,,1,42,9,,,
43,9,Peter,Alton,Peter Alton,Mat,,,,,,43,9,,,
44,10,Jana,Nagyová,Jana Nagyová,Princess Arabela,,,,,1,44,10,,,
45,10,Dagmar,Patrasová,Dagmar Patrasová,Princess Xenie,,,,,,45,10,,,
46,10,Vladimír,Dlouhý,Vladimír Dlouhý,Petr Majer,,,,,,46,10,,,
47,10,Jana,Brejchová,Jana Brejchová,Fairy Queen,,,,,,47,10,,,
48,10,Jiří,Lábus,Jiří Lábus,Rumburak,,,,,1,48,10,,,
49,11,Stela,Popescu,Stela Popescu,Matilda,,,,,1,49,11,,,
50,11,Valentin,Teodosiu,Valentin Teodosiu,Tanase,,,,,,50,11,,,
51,11,Madalina,Anea,Madalina Anea,Ana,,,,,,51,11,,,
